no,movie,content,rate
14335187,심연,지금봐도 충분히 재밌는 영화임,10
14335186,낯선 사람에게서 전화가 올 때,런닝타임 90분중 서론이 70분인 영화...,4
14335185,인크레더블 2,재미있었습니다. 우리 아이도 즐거워했지만 애니메이션을 좋아하는 엄마인 저도 너무 재미있게 봤습니다.,10
14335184,트루스 오어 데어,소재가 참신해서 재밌게 보긴했는데 영화가 뭔가 급함.. 안알려주는것도 많공.. 그래도 마키가 매력적이여서 끝까지 다 봤음~,7
14335183,아수라,김부선씨도 나오나요?,10
14335181,위대한 쇼맨,진짜 너무 인상깊은 영화,10
14335180,독전,미션임파서블4표절인듯.. 20분보면유준열이이선생인거알수있음,1
14335179,인크레더블 2,너무 너무 재미있게 잘 봤습니다,10
14335178,우리들의 일그러진 영웅,저때나 지금이나 달라진게없다 얼마나썩어빠진비리들이 넘쳐날것이다.,10
14335177,인크레더블 2,"솔직히 앞부분 지겨움,,, 잘뻔했음,,일편이 훨 재밌음,, 뒷부분이랑 잭잭이 귀여워서 별 세개 줌",6
14335176,피터 래빗,토끼 너무 귀엽고 똑똑하네요ㅋㅋㅋ,10
14335175,인크레더블 2,너무 재밌네요. 3는 언제 나올까요?,10
14335173,마녀,대박~~~~완젼재밌음!,10
14335172,아수라,현실고증 다큐멘터리 인정,10
14335171,이스케이프 플랜,ㅠㅠ 처음으로 리뷰 남김 너무 재밌당,10
14335170,신과함께-죄와 벌,잔잔했던 차태현 연기가 너무 좋았던 인생영화,10
14335169,인크레더블 2,넘 좋타 옛날에 놈잼있게 봤는데 그냥 다 좋타,10
14335168,아이 필 프리티,너무 공감되는 영화이다.,10
14335167,아수라,홍보를 리얼 다큐라고 했으면 천만각,10
14335166,속닥속닥,진짜 저도 무서운거 진짜 잘못보는데 하나도 안무섭고 돈안주고 보기 잘한듯..,2
14335165,이별의 아침에 약속의 꽃을 장식하자,"과거를 위해 살아가는 자, 미래를 위해 살아가는 자, 현재를 살아가는 자의 이야기인것같아요. 정말 좋은 영화였어요. 감사합니다 :)",10
14335164,호텔 아르테미스,"가족애인지, 액션인지. 뒤뚱뒤뚱 잰걸음치는 조디포스터에 눈길이.",6
14335163,스카이스크래퍼,웅장한 스케일~ 재밌었습니다~~,9
14335162,점박이 : 한반도의 공룡3D,내용적으로 오류덩어리,1
14335161,스카이스크래퍼,처음부터 끝까지 긴장감 100% 존잼,10
14335160,마녀,생각보다 잔인했지만 처음부터 끝까지 스릴 넘치고 재밌는 영화 !,10
14335157,스카이스크래퍼,가볍게 보기 좋은 영화였던 것 같아요,9
14335156,아수라,정우성나와서  1점줍니다.역시나 노쨈,1
14335155,아수라,재평가 되어야하는 실사판 영화,10
14335153,마녀,너무 재밌고 다시 보라고 한다면 또 볼 것같아요! 그만큼 지루하지 않고 소름이 쫙 돋아요!,10
14335152,스카이스크래퍼,심장 쫄깃쫄깃한 영화.. 보는내내 숨막히는 느낌..,10
14335151,스카이스크래퍼,이번에도 믿고 보는 더락 행님!!,10
14335150,마녀,돌아왔을때 마녀답게 조금 더 무섭게햇으면 더좋았을듯내용이나 연기력은 좋았음,8
14335149,스카이스크래퍼,"기대이상으로 좋았던 영화,. 드웨인존슨 영화는 평타이상 ㅋ",10
14335148,스카이스크래퍼,손발에 땀이 엄청남ㅠㅠㅠ진짜 재밋웅!,10
14335147,독전,똑같은 영화 보여줄거면 왜 다시 개봉함jQuery22409886021831164573_1532329678945?,2
14335145,"나는 내일, 어제의 너와 만난다",진한 9점짜리 여운을 남기는영화,9
14335144,아수라,실화 같지 않은 실화 영화,9
