no,movie,content,rate
14330171,아수라,이거 실화냐?....,10
14330169,인크레더블 2,아이들이 재미있데요.만족합니다,10
14330168,인크레더블 2,아이들과 잼나게봤어요,8
14330167,마녀,진짜 여주인공 연기 대박....,10
14330166,앤트맨과 와스프,모든 걸 충족했어요 마블의 모든 영화를 기대하게끔 하는 영화!,10
14330165,앤트맨과 와스프,좋습니다만 약간은 아쉬움,8
14330164,마녀,재미있어요!! 연기들 다 잘해서 몰입감 굿굿,10
14330163,클레멘타인,꼭보세요 진짜 bb 개꾸르잼,10
14330162,아수라,꽃이 지고야 봄인줄 알았습니다.,10
14330161,장고:분노의 추적자,미친영화다 정말 미쳤다,10
14330159,인크레더블 2,잭잭이너무조아요ㅋ ㅋ너구리랑,8
14330158,아수라,실화로만든영화라니!?,10
14330157,아수라,영화개봉당시 영화관에서 볼 때는 정말 현실감각없고 재미없다고 생각하고 욕했는데 그게 아니란 걸 알았습니다. 진짜 마지막장면은 저게뭐냐 하면서 벙쪘는데 현실도 이 영화 마지막처럼 마무리 됐으면 좋겠습니닷!,10
14330156,앤트맨과 와스프,앤트맨과 와스프는 돌아올까..?,10
14330155,당갈,2시간 41분 동안 상영되지만 체감을 못할정도 로 재미도 감동도 다 챙겼다,9
14330154,빅샤크: 매직체인지,비록 엄마는 별로였지만 아이들은 재미있어했어요,6
14330153,마녀,영화 마녀에서 김다미를 본 것은 은교에서 김고은을 처음 봤을 때보다 더 충격적이었다. 구자윤이라는 캐릭터를 정말 잘 소화해냈고 영화도 처음부터 끝까지 긴장감 잘 조성해서 몰입하며 볼 수 있었다.,7
14330152,인크레더블 2,온가족 재미있게 봤어여!!,10
14330151,독전,"감독판,똑같은 영화 두번본 느낌",8
14330150,아수라,다큐멘터리인지 몰랐어요,10
14330149,아수라,based on the true stroy,8
14330148,인크레더블 2,재밌어요ㅋㅋ애니판어벤저스,10
14330147,인크레더블 2,만두가 나올때 뭐지? 잘못들어왔나? 라고 생각했는데 더빙목소리도 재밌었고 내용도.재밌었습니다3편이 기대되는 영화였어요 애들도 재밌어 했습니당 .,10
14330146,호텔 아르테미스,노잼...소피아부텔라만 멋잇음,6
14330145,마녀,"오랜만에 취향저격 영화.더 발전한 파트 2를 기대한다.김다미라는 배우의 발견.떼묻지 않은 날 것의 연기가 나를 매료시켰다.앞으로 좋은 작품으로 자주 만나기를 희망한다.""입덕""",10
14330144,퍼시픽 림: 업라이징,스케일은 커도.. 심형래 감독이 만든 느낌의 영화,6
14330143,일주일간 친구,"추억은 타버렸지만 사라지지 않았다.영화가 끝나지 않길 바란건지, 둘의 추억이 끝나지 않길 바란건지.",10
14330142,인크레더블 2,진짜 꿀잼 올해 애니매이션영화중 최고인듯,10
14330140,아수라,"너무 말도 안 된다고 생각했던 영화였는데, 말도 안 되는건 이 영화가 아니라 현실세계였다.",10
14330139,하드데이,딸의 스타킹을 가지고싶드라냄새도 맞고싶네아....,10
14330138,인크레더블 2,재밌어요^^ 3편도 나오길 기대합니다^^,8
14330137,마녀,생각보다 스릴넘치고 연기를 너무 잘해서 놀랐어요!,10
14330136,아수라,너무 현실감이여서 지루했던 영화네,10
14330135,곤지암,이게영화인가?유치에 끝을 보는듯.다짜고찌는고스톱 느낌나던데.. 중고딩  수준의 영화...아 하나기억에남네..여자애 가만히 서서  눈돌아가고 입 나불거릴때 ..좀 무서움ㅋ,2
14330134,아수라,은실장 까지 똑같습니다,10
14330133,인크레더블 2,올해 본 영화 중 이게 최고다,10
14330132,신은 죽지 않았다 3: 어둠 속의 빛,오늘 봤습니다. 질문들을 던져 주는 아주 좋은 영화네요. 웃음과 감동 모두 줍니다. 강력하게 추천합니다!!,10
14330131,아수라,실화라니 영화 다시봤는데 재미었네,10
14330130,앤트맨과 와스프,볼만하넉요추천합니다요,8
14330129,아수라,실화를 재구성한 영화인거 이제알았어요~~ㅎㅎㅎㅎ,10
14330128,지오스톰,"개연성이 좀 떨어지지만 내용은 그래도 괜찮은데 연기들이 재난급... 나 지금,,! 다급한,,! 연기한다! 열씸! 열씸!  인도인가 어디의 강아지가 제일 연기잘함 모래폭풍에 당황한 연기",1
14330127,속닥속닥,에휴 OO 놀이공원에서 할머니 갑툭튀 한게 제일 무서웠다 영화가 왜저러냐,1
14330126,아수라,비현실에 지저분하고 불쾌강이...,2
14330125,앤트맨과 와스프,재밌다 ㄹㅇ 후회 없이 본 듯 마지막 쿠키도 재밌었고 앤트맨이 왜 중요한지 알게 됨,10
14330124,아수라,실화라니 소름돋네요 한번도봐야겠어요,10
14330122,아수라,디테일 지립니다...,10
14330121,앤트맨과 와스프,전편보다 더 좋았음. 다음편이 매우 궁금함,10
14330120,아수라,다큐 실화라서 지루했던거자나!!!!,10
14330119,아수라,현실고증 상타취네요 인정합니다,10
14330118,인크레더블 2,본격인크레더블시리즈를위한완벽한개시!만국공통의흥행공식가족의정과슈퍼히어로일사이의균형과 갈등을공감되는에피소드로잘잡아낸작품!라라랜드를비롯해서요즘트렌드가화면은화려한색감의환상적이지만줄거리는현실적인경우가점점느는듯(슈퍼히어로들도일과가정의균형사이에서고민)정말재밌다!,10
14330117,아수라,이영화가 실화였다니...,10
14330115,독전,이름 좀 있는 배우들의 혼신을 다한 연기와 고 김주혁 배우의 유작이라는 거품을 둘러싸인 실상  전개의 흐름과 작품성은 개판인 상품성 영화.,1
14330114,앤트맨과 와스프,최종보스 타노스....,9
14330113,아수라,먼저 10점 드리고 보겠습니다.,10
14330112,아수라,갓띵작갓띵작갓띵작갓띵작,10
14330111,인크레더블 2,"""잭잭?"" 최고의 명대사",10
14330110,아수라,영화 재평가가 시급하다,10
14330108,박화영,넘 보고 싶었는데 차가 밀려 늦어 입장 못함요~ 다시 예매하고 보려구요~,10
14330107,인크레더블 2,재밋엇어요 시간가는줄 몰랏어요,8
14330106,아수라,현실을 그대로 반영한 명작,10
14330105,쥬만지: 새로운 세계,가볍게 볼 수 있는 노멀한 가족용 오락영화.,7
14330104,아수라,이재맹 시화냐 제명당할듯 ㅋㅋㅋㅋ,10
14330103,앤트맨과 와스프,엄청  재밌었어요. ㅎㅎ,10
14330102,마녀,아 굿굿 기모찌합니다!,10
14330101,아수라,실화를 바탕으로 한 영화라고 왜 말을 않셨나요,10
14330099,인크레더블 2,아이들 보여주러갔다가  저도 재밌게봤네요~~,10
14330098,인크레더블 2,30대가 보는데도 개미맨보다 낫다.,10
14330097,아수라,아 이제야 알았습니다. 감독님 대단하시네요. ㅋㅋ,10
14330096,아수라,미안합니다. 재평가 들어합니다. 이거 감독이 어느정도 알고 만들었었네 ..ㄷㄷ;;;,10
14330095,아수라,이 영화가 실화였다니...,10
14330094,아수라,역대급 영화 내인생 최고의 띵작,10
14330093,밀레니엄 : 여자를 증오한 남자들,긴 런닝타임 내내 긴장하면서 봄 꿀잼,10
14330092,아수라,실화를 바탕으로 했다고 멘트쳤으면 천만관객돌파했을것을..너무 허무맹랑해서 집중이 안된영화인데..안타깝다.,10
14330091,쏜다,시대를 초월한 영화 명작입니다.,10
14330090,앤트맨과 와스프,인터스텔라가가 개미들을 만나 롤러코스터 혹성탈출 타는느낌 ㅋ,10
14330089,인크레더블 2,옆에 앉은 커플이 만두나오는거보고 무슨영화보러오셨냐고 물어봄 만두의 정체를 밝혀라,6
14330088,아이 필 프리티,"에이미슈머, 미셸 윌리엄스 연기파들의 힘나는 코미디",7
14330087,인크레더블 2,너무재미있었어요  특히바오는ㅜㅠ,10
14330086,아수라,재평가... 들어갑니다,10
14330085,아수라,실화 다큐를 몰라봐서 죄송했습니다,10
14330084,인크레더블 2,가족끼리 보기 좋은 애니메이션,8
14330083,앤트맨과 와스프,아주 좋았습니다 어벤져스4가 기대됩니다,10
14330082,앤트맨과 와스프,1점 깎은 요인은 번역가 미공개,9
14330081,아수라,와 . 이게 실화냐? ㅅㅅ,10
14330078,개들의 섬,이 영화는 안 봤던 걸로 하고 싶다...,6
14330077,아수라,영화가 재미없는게 아니라 다큐멘터리라서 재미가 없었던 거다,10
14330076,인크레더블 2,7살 아들이랑 넘나 잼나게 봤네요~,10
14330075,아수라,설마했었는데 극리얼리티였음!!!,10
14330074,더 게임,좀 된 영화 지금에서 봤는데 볼만했던거같애여,10
14330073,앤트맨과 와스프,뻘하게 터지는 부분이 많았다 나쁘지 암ㅎ았음,8
14330072,인크레더블 2,가족들이랑 보기 좋은 영화인거같아요!! 재밌었습니당~~,10
14330070,인크레더블 2,아이와 즐겁게 봤습니다.,7
14330069,인크레더블 2,언더마이너 액션씬 부터 울컥..인크레더블 가족이 싸우는 모습을 다시 볼 수 있다니픽사에게 너무 고맙고 너무 감동스러웠다 ㅠ,10
14330068,인크레더블 2,재밌긴 재밌었는데 다른볼만한영화있음 그거볼걸그랬어요ㅋㅋ,8
14330066,인크레더블 2,잭잭이 너무 귀여워요!!,10
14330065,마녀,너무 재밌다 최우식 얼굴이,10
14330064,아수라,오우잼 꾸르를잼 ㅋ개잼,10
14330063,원라인,오지게짜집기해놨네....유치 끝을보여주는구만...,1
14330062,아수라,다시 봤는데 몰입도 자체가 달라짐 ㅋㅋㅋ,10
14330061,마녀,어제 봤는데 정말 재미있더라ㅎㅎ,8
14330060,침묵,시놉 탄탄하네  최민식 박신혜  역시 연기 짱 잘한다.  연출이 좀 더 쫀쫀했으면 하는 바램,10
14330059,어벤져스: 인피니티 워,"7월 말, 아직도 하는 곳이 있는걸 확인하고 놀랐고 곧 예매해서 방금 4차 관람까지 마쳤다. 역시 마블 ㅠㅠ 내년까지 열심히 살다 만납시당",10
14330058,아수라,대박 감독님 선구안 ...주연배우 요즘 행태가 읍읍읍 하지만 감독님의 현실 파악 능력에 감탄하여 별점 만점 드립니다,10
14330057,아수라,nicenicenice,10
14330055,속닥속닥,그냥 재미없을거 같긴했는데 13일에금요일에 나온다길래 걍 혹시나해서 본거였는데 역시나네요 진짜 존나재미없어요 곤지암도 그냥그랬는데 곤지암이 명작이였네요 ㅅㅂ돈이 ㅈㄴ아까워요,1
14330054,앤트맨과 와스프,재밌고 또 재밌네요~ 번역가 상관없습니다 ~ 뭐그렇게 까다롭게 구시나~ 재밌으면 됐지 ㅋㅋㅋ,10
14330053,허스토리,꼭 감상해야하는 영화...,10
14330052,아수라,좋은 영화입니다 추천합니다,10
14330051,인크레더블 2,아이들과 어른들 모두를 만족 시키는 재밌는 영화 에요너무재밌어서 또 보고 싶어요다음 속편도 기대됩니다또 나오겠죠?~^^,10
14330049,아수라,안남시장에서 게임끝 전현직 시장 둘다 노렸네.,10
14330048,아수라,리뷰보고 안봤는데 리뷰보고 다시보러갑니다^^,10
14330047,아수라,감독이 어떤 경로로 정보를 입수했는지 궁금. 멋진 다큐,10
14330046,인크레더블 2,5살 7살 아이들도 집중해서 재미있게 봤어요.,10
14330045,아수라,다큐인데 재밌기까지 함,10
14330044,아수라,현실반영 오지네 진심 소오름,10
14330043,인크레더블 2,화장실 가고 싶었는 데 갈 수가 없었음. 너무 꿀잼이라....,10
14330042,아수라,네이버에 난생 처음으로 평점 등록함,10
14330041,마녀,"김다미 배우 연기 덕분에 그나마 몰입됐지만 내용 하.... 사람 죽이는 장면에서 웃음이 나오더라ㅋㅋ 난 뭐 뿌셔뿌셔 광고하는 줄,,  머리를 날려~~ 아무리 해도 몸 엥간하게 맞았으면 쓰러져야지 ㅠㅠㅠ",1
14330040,아수라,마지막 장례식장씬은 이렇게까지 연출을 해야 되나 싶을정도로 견디기 힘들었음,9
14330039,아수라,애초에도 좀 투머치인 것 빼면 좋은 영화였는데 이 투머치도 심지어 의도된 연출이었다니 최고의 영화다.,10
14330038,마녀,"최고네요... 혹평도 많던데, 제눈에는 영화보면서 거슬리는 거 전혀 없었네요. 그냥 영화에 빠져듬..",9
14330037,아수라,"네극사실,리얼리티잘봤습니다",10
14330036,아수라,말을하시지 그러셨어요 다큐라고,10
14330035,아수라,심지어 여기서 안남시장 오른팔 직함도 “은실장” 으로나옴 ㅋㅋㅋ 진짜 노린걸까,10
14330034,마녀,액션도 션하니 잼나는데.? 여주도 신선하고 ㅋㅋ,10
14330033,아수라,이영화는 다큐입니다 진정한 리얼리티,10
14330032,인크레더블 2,가족에 힘이대단하다는걸 알게해준영화,10
14330031,앤트맨과 와스프,역시 마블! 기다린 보람이 있어요,10
14330030,아수라,이제부터 내ㅤㅊㅙㅤ애영화다,10
14330029,인크레더블 2,14년간의 공백을 깬 대작! 140개의 재미와 철학이 공존하다! 픽사 영화는 그냥 보는것이 돈을 버는 것.,10
14330028,아수라,사실주의 오져리 오졌드아ㅋㅋㅋ,10
14330027,아수라,최고의 현실성누가 알았겠나?,10
14330026,앤트맨과 와스프,재미있게 봤습니다 ㅎㅎㅅㄴ,10
14330025,인크레더블 2,너무너무재미있었어요,8
14330024,곤지암,알포인트 이후로 한국 공포영화 중 진짜 재밌게 봤다. 대박.,8
14330023,앤트맨과 와스프,완전 재밌어요!!!! 굳,10
14330022,마녀,아 겁나 잼있더 사람들 평점 거짓말 그냥 재밋더,10
14330021,아수라,영화가아니라 다큐였군요 재관람하고오겠습니다,10
14330020,아수라,성지순례 했었다는걸 이제 알았음... 재평가차원에서 네이버에 난생 처음으로 평점 등록함,10
14330019,인크레더블 2,아이랑 너무 재미있게 봤습니다,10
14330018,시카리오: 데이 오브 솔다도,1편 못지않게 긴장감과 탄탄한 시나리오.30km를 넘겨 걸려 개봉하는 극장을 찾았다. 역시후회가 없다!,10
14330017,아수라,"처음봤을땐 뭐지! 하고 봤는데, 다시 보면서 오.. 하고 봤다.",10
14330016,아가씨,원작을 넘어 우리의 시대를 담아서 섬세하고 아름답게 꾸몄다. 배우들의 연기는 더할 나위없다. 불편함을 만들어내고 불편함을 표현하고 풀어가는 탁월한 감독. 화면과 줄거리의 아이어니는 강력한 흡입력을 가져온다.,9
14330015,아수라,허허허허영화는영화다,10
14330014,아수라,"정우성이 연기 진짜 X같이 못 해서 별로였는데, 실화라고 생각하고 보니까 소름이네.",10
14330013,아수라,"이런면에서 촉이 참 좋은데, 내가 재밌다고 보라고해도 다들 그렇게 재미없다 그러더니!! 이제야 다들 알아보네, 나는 벌써 20번 이상 봐서 황정민 대사도 다 외울 정도!!!! 재관람 하세요 다들!!!",10
14330012,아수라,와우 대박이다 짱짱짱 실화였다니,10
14330010,인크레더블 2,어른들이 보기에도 박진감넘치게 재밌는영화,10
14330009,아수라,실화냐 다큐멘디터리어,10
14330008,아수라,이 영화가 실화였다니...,10
14330007,햄스테드,마음 뉘일 집과 사랑하는 사람만 있으면 행복할 수 있겠다는 생각이 들었어요,10
14330005,아수라,다큐였네ㄷㄷㄷ.시간이가면갈수록 가치가 드러날 명작,10
14330004,앤트맨과 와스프,쿠키영상보려고 기다렸던 이윤 뭘까jQuery2240928057339033062_1532245690544?,6
14330002,아수라,레알 대박 안남시장 ...,10
14330001,인크레더블 2,어른도 재미있게 볼만합니다.,10
14330000,아수라,팩트인줄 몰랐으면 지루했을듯.   탄식하며 봤음,10
14329999,빅 식,"무슬림 출신 이민자들과 기존 거주자들이 쿠마일과 에밀리의 가족처럼 오픈 마인드라면 갈등은 없을 듯. 실화의 쿠마일이 직접 배우로 등장한다는데, 과연 결혼 당시의 사진 보면 1400년의 문화와 인종을 뛰어넘을 만큼 잘생겼음;",8
14329998,아수라,진짜다이영화는 진짜가나타났다,10
14329997,더 킹,디카프리오 주연 더 울프 영화랑 비슷하네요! 그래도 시간가는 줄 모르고 ㅤㅂㅘㅅ네요~!,9
14329996,인크레더블 2,재미와 감동을 모두잡은 보기드문 영화!!,10
14329995,아수라,실제로 벌어지는 일이라는걸 알고보니 우와 ㅎㅎㅎ대부악 김성수 ㅎㅎ용감했네,10
14329994,곤지암,팩트와 허구를 구분하기 어려울 정도로 작품에 몰입할 수 있게 잘 만드셨습니다,10
14329993,마녀,"개인적으로 히어로까진 아니더라도 우리나라의 새로운 시도인것은 분명하네요. Part 2, 3 가 나온다면 흥행에 상관없이 보고싶은 영화입니다. 한국에서도 시리즈로 영화가 제작되었으면 하는 바램입니다.",9
14329992,아수라,와.... 대박... 헐 ..,10
14329991,아수라,지금 다시 보니 명품영화네요.,10
14329990,인크레더블 2,아이들이랑 재미 있게봄,9
14329989,독전,최고 기대없이봤다가 넘재밌게봤어요,10
14329988,아수라,재개봉 부탁드립니다 감동실화,10
14329987,아수라,리그오브레전드 ㄹㅇ루다가,10
14329986,아수라,실화엿군요 ㅎㄷㄷ 몰라뵈어 죄송할따름입니다,10
14329985,아수라,레알이였군....재 평 가 시 급 !,10
14329984,아수라,아수라 다시 재개봉 가자,10
14329983,인크레더블 2,아이가 조금 무서워하긴 했지만 재밌네요 잭잭이 귀여워요~^^,10
14329982,인크레더블 2,그냥 재미있었습니다. 픽사영화의 감동은 적었네요..,8
14329981,인크레더블 2,잭잭♡ 일라스티걸♡ 바이올렛♡ 대쉬♡ 미스터인크레더블♡,10
14329980,아수라,분류가 다큐로 바꿔야...,10
14329979,인크레더블 2,재밌어용 애기가 너무 귀여워요 ㅋㅋㅋㅋ,10
14329978,인크레더블 2,뻔한데 그런 맛이있다.,8
14329977,인크레더블 2,애들이 많이재밋어하더군요,8
14329976,쥬라기 월드: 폴른 킹덤,다음편이 상상조차 안 되는 스케일입니나.,10
14329975,인크레더블 2,어른도 재미있네요    강력추천합니다,10
14329974,스카이스크래퍼,스토리나 개연성보단 스트레스 풀기 딱 좋은 액션씬이 빛나는 영화! 머리 비우고 생각안하고 보기 좋은것 같아요 재밌게 봤습니다,10
14329973,아수라,재개봉 갑시다 이재명 몰아냅시다!!,10
14329972,아수라,ㅠ어루처니네닌ㄴㄴㄴㄴ,10
14329971,아수라,레전드! 이 영화는 전설이 되었다!,10
14329970,아수라,레알 참트루 였다니...,10
14329969,아수라,"그것이 알고 싶다 보고 보니까, 이게 실화라고 생각되었고 실제인물임을 알고 나니 엄청난 작품이었다!",10
14329968,스카이스크래퍼,처음부터 끝까지 긴장하면서 봤네요.,10
14329967,아수라,깊은 사회적 안목을 못헤아려서 죄송합니다 이렇게 이 시회가 조금 더 정의로와지길 바랍니다 죄 지은 사람들은 합당한 대가를 치르길,10
14329966,킬링 디어,몰입도 높은 영화에요 굿굿,8
14329965,앤트맨과 와스프,볼만하다라는 생각만 든다,8
14329964,인크레더블 2,아들이랑 둘이서 아주 재미있게 보았습니다. 재미있네요!,10
14329963,마녀,그냥그래요연기자들 연기력은 좋았습니다,8
14329962,아수라,아수라 재평가가 시급하다,10
14329961,인크레더블 2,인크레더블 원보다 더 재밌습니다,8
14329960,아수라,극장에서 봤었지만 오늘 한번 더봅니다. 재평가,10
14329958,속닥속닥,결론 : 김민규 잘생김.,1
14329956,아수라,재평가 시급합니다...다큐였다니,10
14329955,아수라,영화관에서 볼 땐 몰랐는데 실화여서 영화가 조금 산만했구나....죄송합니다 감독님,10
14329954,독전,호평만봐서 그런가 너무너무너무너무넘 별로얏어요 진짜 내용에 인고관계도 없ㅅ고 가승전결도 없고 그냥 눈만 사로잡는 자극적인 장면들뿐이지 이렇게 기승전결이 없고 마지막이 하무한건 처음이네요 .. 류준열만 섹시하지ㅠㅠㅠㅠ 기대도 한것도 아닌데 너무 실망..,2
14329953,악마를 보았다,3손가락안에 드는 수작최민식 정말 최고다,10
14329952,아수라,신선한 다큐 잘봤습니다,10
14329950,스카이스크래퍼,그럭저럭 볼만했음 전형적인 미국인들 영웅심리가 들어간 영화였음,8
14329949,내일을 향해 쏴라,자전거 씬은 한편의 동화 같다,10
14329948,아수라,감독이 하고싶은거 다 한듯한 영화 제목 그대로 아수라 뚝심있게 밀고나가서 좋았다,10
14329947,인크레더블 2,아이때문에 같이 보러 갔는데 재밌었어요.만두 나오는 장면도 뭔가 울컥하더라구요..,10
14329945,아수라,실화인줄 몰랐다.진실일까,10
14329943,아수라,성남이 모티브였나요?너무 흡사하여 깜짝 놀랐음 ㅠ,10
14329942,인크레더블 2,그동안 기다린 보람이 있었다. 10번도 더 볼수 있을듯,10
14329941,인크레더블 2,아들들과 즐겁게 재미있게 봤어요.,10
14329940,아수라,내부자들 이후 현실은 영화보다 더 리얼하다는걸 다시 깨닫게 해준 영화 ㄷㄷ,10
14329939,아수라,눈썰미 좋은 사람들은 알아챗겠지만 눈여겨 봐야 할 부분.분향소 씬 화한에 주목해라 엄청난 영화였단걸 느낄것이다.이건 영화가 아니라 다큐야,10
14329938,아수라,실화였나요? 살벌하네..,10
14329936,인크레더블 2,무서워하긴했는데 재밌게 봤어요^^,8
14329934,아수라,크 사회폭로영화였다니,10
14329933,쥬라기 월드: 폴른 킹덤,이걸 영화라고 스토리라고 개연성이라고끔찍한 유치뽕짝 영화,1
14329932,인크레더블 2,잭잭이 너무 구여워요 ㄱㅋ,10
14329931,암살,역사를 잘 조명한 영화라 너무 마음에든다,10
14329930,잉글랜드 이즈 마인,재미있게 잘 봤습니다!!!,10
14329929,인크레더블 2,자막이 재미있나요 더빙이 재미있나요 ㅋㅋ,2
14329928,아수라,이영화야 말로 참된 다큐,10
14329927,아수라,당시엔 몰랐는데 그랬구나,10
14329926,인크레더블 2,아이들과같이봐도좋을영화,10
14329924,앤트맨과 와스프,적당한 액션 무난한 스토리히어로가 아닌 가족의 한 사람으로서의 앤트맨과 와스프,8
14329923,아수라,이뭐시기 때문에 봤는데 진짜 온몸이 덜덜 떨리고 소름이 돋는다.... 저것이 실재하는 세계라면 저들에게 국민들은 개돼지만도 못되는 미물이겠구나하는 생각이 들었다.... 이뭐시기 볼 때마다 박성배 생각날듯....,10
14329922,한낮의 유성,중반까지는 볼만했으나..,4
14329921,지금 만나러 갑니다,사랑하는 이와 같이 혹은 따로 볼 수 있는.일본 원작도 다시 봐야겠네요,10
14329920,인크레더블 2,스릴있고 재밌음  또보고 싶어요,10
14329919,아수라,네이버 평점은 믿을게 못되네 개봉당시 혹평이 너무 많아서 걸렀었는데 이건에 재조명 받아서 봤는데 그 사건은 논외로 치더라도 영화자체는 탈김치 느와르영화임 그 당시 대중들이 작품수준을 못따라온 케이스,10
14329918,아수라,성남시 실화판 ㅎㄷㄷㄷ,10
14329915,마이 블루베리 나이츠,나른한 일요일 오후와 정말 잘 어울리는 영화,10
14329914,아수라,실화라니 놀랍습니다 대박,10
14329913,아수라,자격증 시험 다붙게 해주세요~,10
14329912,아수라,다시보기해야겠네여 ㅋㅋ,10
14329911,아수라,황정민 청룡영화 남우주연 청원합니다,10
14329910,인크레더블 2,"초1,3 아이들 너무 재미있게 봤어요~^^",10
14329909,조선명탐정: 흡혈괴마의 비밀,재미잇다재미잇다재미잇다재미없어,8
14329907,아수라,안남시.... 안남시...,10
14329906,그것만이 내 세상,재밌더라 추천해주고 싶더라,10
14329905,아수라,실화라고 하더군요..,10
14329904,토이 스토리,수십번은 본영화 다시봐도 재밌어요,10
14329903,아수라,이재명 인생작 위인전기 잘ㅤㅂㅘㅅ습니다,10
14329901,마녀,찍느라 고생들하셧어요,8
14329899,리틀 포레스트,심심하지만 여운을 주는 영화,8
14329898,아수라,오늘이 오기까지 이 명작을 몰랐습니다..,10
14329897,지금 만나러 갑니다,요자친구 울더라 난 안울었다,8
14329895,인크레더블 2,너무 재밌게 봤습니다 ㅎㅎ,10
14329894,아수라,재개봉가야할듯 합니다 이정도면,10
14329893,아수라,다큐를 찍으셨네요 감독님,10
14329892,데드풀 2,나는 별로더라 당신들은 어딸지,8
14329891,독전,다시봐도 명작입니다. 연기도 훌륭하고 그리고 농아인남매의 연기는 다시봐도 너무 조하요 ..ㅠㅠ 류준열배우 너무 잘생기셔써여.. 추가된 컷 보묜서 더 재밌게봤습니다 ~,10
14329890,아수라,꽃이지고서야 봄인줄 알았습니다,10
14329889,인크레더블 2,아이들이 너무 재미있어해요~,10
14329888,인크레더블 2,7살 딸이랑 너무 재밌게 봤습니다.,8
14329886,아수라,기억이 좀 가물가물한데 재개봉해라,10
14329885,빅 식,아카데미 각본상후보였어서 기대하고 봤는데 생각보단 미국식 드라마여서 실망했지만 가족들과 혹은 친구들과 보기엔 무난하게 재밌는 영화 인것 같아요!!^,6
14329884,리틀 보이,GOOD MOVIE!!,10
14329883,인크레더블 2,믿보픽...넘재밌서요,10
14329882,마녀,최근본영화중최고입니다 극장나오면서 다음편 빨리보고싶은생각뿐이네요,10
14329881,인크레더블 2,1편은 총각때  재밌게 봤고 2편은 아이들과 봤네요. 만족스런 2편입니다.,9
14329880,마녀,소름이 끼치고 속도감 있는전개가 넘 맘에 들어요!,10
14329879,컨택트,언어학자가 외계인으로 구하는 지구어렵다. 하지만 보면 볼수록 재밌다,9
14329878,인크레더블 2,중간에 좀 지루한 면도 있었지만대체적으로 만족한 영화였습니다~,8
14329877,아수라,최고의 영화였구나 대단하다 ㅠㅠ 이제야 빛을보네,10
14329876,아수라,영화면 영화답게 좀 더 자극적으로 만들지 현실보다도 못하니 원....,3
14329875,독전,마약 빨고 연기한듯 ㅋㅋ 연기력 장난아녀,8
14329874,아수라,아수라 명작입니다.잔인하지만 잘봤습니다.,10
14329873,아수라,갓수라 진실을 파해ㅤㅊㅕㅅ구만,10
14329872,검은 사제들,막 엄청 재밌고 그런건 아닌데 몰입도는 쩔음.,8
14329871,인크레더블 2,저도 만두 영화 상영하길래 저도 상영관 잘못 온줄 암,10
14329870,식구,연기잘해요잘보았습니다.,8
14329868,우리들,"느낌을주는,아이들로 인해어른들이 배우는게 많은 영화입니다.",10
14329867,어벤져스: 인피니티 워,번역이 어떻든 재밌어요,10
14329866,앤트맨과 와스프,쿠키영상이 젤 재밋음 쿠키영상보려고 두시간 본듯,6
14329865,마녀,감동도 없고 내용도 없고..오글오글..,1
14329864,아수라,절대 믿으면 안되는 그런눈을 가지셨다 우리지사님,10
14329863,마녀,기대안하고봤는데재밌게봤어용!최우식존멋,9
14329862,인크레더블 2,오랜기간 공백기간이 아닌듯 처음부터 끝까지 아이와 함께 보는 내내 너무나도  신나고 재미났던 영화였답니다^^,10
14329861,해피 데스데이,여주인공의 패기와 반전굿!,8
14329860,아수라,재개봉 간절히 원합니다.,10
14329859,쥬라기 월드: 폴른 킹덤,하늘을 나는 것은 나는 것이 아니다.,8
14329858,서유기 2 - 선리기연,"이 영화는 교훈을 주거나, 메세지를 주거나, 엄숙하거나, 있어보이는 영화가 아니죠. 용기있게 사랑하라는 영화입니다.",9
14329857,앤트맨과 와스프,재미 있습니다..아이랑 같이보기에도 좋고 중간에 한번씩 웃음 포인트도 있어서 재미나게 봤습니다,8
14329856,앤트맨과 와스프,쿠키 영상이 신의 한 수! 어벤저스와 앤트맨이 어떻게 콜라보를 이룰지 완전 기대됩니다!,10
14329855,인크레더블 2,아이들과 기다린 보람이 있었습니다,10
14329854,아수라,픽션인줄 알았는데 다큐. 재개봉 해주세요. 25살 청년 죽인것 말고 뒤로 얼마나 더 피살자들이 있을지...,10
14329853,인크레더블 2,슈퍼베드3 이후로 속편 인크레더블도 완벽하네요.,10
14329852,킹덤 오브 헤븐,감독판 희대의 대작이다,10
14329851,아수라,이것이 바로 그 유명한 다큐멘터리 입니까?,10
14329850,사이비,사이비를 믿게되는 과정이 너무나 리얼하고 저런 상황에서 깨어있을수있을까 하는 생각이 들었다,9
14329849,아수라,현실보다는 약한게 흠이라면 흠,9
14329847,인크레더블 2,아주재밌게봤다고아이들이그러네요,6
14329846,스크림,범인이 여러명일거라는 생각은 했지만 반전이 좋았다. 사이코 연기가 돋보였다,8
14329845,튼튼이의 모험,이상하게 언제부터 작은 영화에 대한 편견이 생겨버렸다. 꼭 진지해야하고 자신의 생각을 꾹꾹 눌러담아 폭발 시켜야 한다라는. 이 영화를 보며 다시금 내가 영화를 좋아한 계기가 떠올랐다. 그냥 존X 재미있으면 됐지 무슨 의미따위.,8
14329844,아수라,정말 재미있네요 최곱니다,10
